HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,source_id,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,lum_val,lum_percentile_lower,lum_percentile_upper
61220,6659,226,3.97,0.14,,,1465.0,1754.0,2024.0,972.0,3652.0,68,237.0,6131.0,95,2073.0,1.28,1.28,1.27,1.2,1.4,68,1.1,1.5,95,1.48,6132928559536171520,7.2299585,24174804.119373623,4619.304932888881,7.4632783,14296968.111571893,12396.30917044826,6.8950834,14019565.894725503,23073.085673645768,7.3120337,7.2629532999999995,7.361114
61233,6796,231,4.2,0.14,,,1939.0,2196.0,2337.0,1243.0,5800.0,68,398.0,8913.0,95,1499.0,1.27,1.28,1.18,1.1,1.4,68,1.0,1.5,95,1.37,5837976628285923712,7.6834598,15920705.003565101,4152.635330996849,7.908890700000001,9484162.933025263,9923.901641552666,7.3657103,9088326.688258633,11935.244152648504,5.835526,5.8088245,5.8622274
61295,8664,295,4.02,0.14,15.0,0.0,334.0,419.0,587.0,281.0,741.0,68,65.0,818.0,95,675.0,1.87,1.86,1.83,1.8,1.9,68,1.7,2.1,95,2.05,3959212286380277632,6.229503,60749826.02093233,28691.642020863652,6.30398,41587545.49687608,63445.28685786409,6.1480856,27895480.34843629,45549.7992793504,,,
61318,10794,367,4.24,0.14,116.0,0.0,248.0,276.0,286.0,237.0,325.0,68,126.0,365.0,95,168.0,2.71,2.7,2.65,2.5,2.9,68,2.4,3.1,95,2.52,3579800918469652992,5.465063,122834670.26623176,121292.40390165994,5.465361,90034897.97223209,80535.77083898039,5.519039,49791168.30801825,97302.64832731396,,,
61346,6637,226,4.23,0.14,,,1555.0,1852.0,2083.0,1059.0,3548.0,68,274.0,5957.0,95,1755.0,1.28,1.31,1.27,1.2,1.4,68,1.1,1.5,95,1.31,3681144730564000384,8.287967,9123460.408810835,3813.7491920047296,8.517793,5413002.5127291065,6592.776895336082,7.9518704,5296877.043270106,12954.417914421065,3.9515855,3.9168437000000007,3.9863274
61347,8123,276,4.39,0.14,,,689.0,782.0,829.0,640.0,1038.0,68,266.0,1259.0,95,21.0,1.81,1.79,1.75,1.6,1.9,68,1.6,2.1,95,1.7,3470081516424001280,6.9337979999999995,31756106.17606237,9723.277985758104,7.055174000000001,20820240.327016186,25408.87426091802,6.7756505,15649763.349179745,32108.029323872637,9.848294000000001,9.781836,9.914753
61460,6892,234,4.21,0.14,,,807.0,1000.0,1353.0,455.0,2468.0,68,97.0,4217.0,95,1256.0,1.32,1.32,1.32,1.2,1.4,68,1.1,1.5,95,1.4,3523295027349309312,7.0176525,29395802.67028133,6558.078320064979,7.2304378,17716594.36169209,14041.63907954997,6.715058,16547973.626835348,30909.588824919025,6.627122999999999,6.591524000000001,6.6627216
61496,7132,242,3.93,0.14,,,786.0,1001.0,1314.0,613.0,1830.0,68,130.0,2371.0,95,1429.0,1.45,1.45,1.44,1.4,1.5,68,1.3,1.6,95,1.67,3515324014724705664,6.1006446,68405085.34121071,33002.550431298485,6.302825,41631805.376357466,75726.91574668785,5.819121,37767625.29297768,44807.38005423946,14.38636,13.997864000000002,14.774857
61498,10196,347,4.47,0.14,142.0,0.0,284.0,327.0,350.0,275.0,414.0,68,115.0,447.0,95,8.0,2.46,2.45,2.39,2.3,2.6,68,2.2,2.8,95,2.73,6147117727029871360,5.7713823,92638886.75286648,85394.57289910786,5.783325,67177699.96776414,184460.09707793157,5.785326,38961676.03320994,39471.07270174449,,,
61502,6518,222,4.35,0.14,,,1579.0,1915.0,2337.0,1000.0,4870.0,68,224.0,7286.0,95,747.0,1.2,1.19,1.18,1.1,1.3,68,1.0,1.4,95,1.25,6146015672781450752,7.8712344,13392217.850982316,4733.0020637460275,8.116825,7831141.268714627,11488.666055009026,7.5117544999999994,7944494.110120112,14960.558214422534,5.722910400000001,5.5794063,5.866414499999999
61558,9600,326,4.22,0.14,155.0,0.0,410.0,437.0,440.0,388.0,513.0,68,244.0,579.0,95,300.0,2.35,2.34,2.28,2.1,2.5,68,2.0,2.7,95,2.16,3679690695155684480,5.853160400000001,85917592.92998068,33228.537852025314,5.900243799999999,60319500.69281338,86725.8357222963,5.813178,37974907.55295046,35716.443295415265,,,
61578,6358,216,4.21,0.14,,,1640.0,2019.0,3029.0,1029.0,5788.0,68,205.0,7499.0,95,2997.0,1.13,1.11,1.07,1.0,1.2,68,1.0,1.3,95,1.22,3683160646477904512,6.8245997,35116112.106212005,8192.552786827755,7.096884700000001,20035556.234766047,26907.755083254662,6.452099,21082811.94331672,45910.333314987176,3.0984757000000003,3.0870998,3.1098516
61619,6281,214,4.01,0.14,,,2763.0,3350.0,3600.0,2113.0,6494.0,68,688.0,8913.0,95,3027.0,1.16,1.15,1.1,1.0,1.2,68,1.0,1.3,95,1.35,1521428118055816960,7.221424000000001,24365570.181060266,5237.27550970922,7.492728,13914382.426970486,18683.959891383773,6.8532475999999996,14570317.82666931,34074.659712777524,2.763023,2.753922,2.7721237999999997
61622,10533,358,4.02,0.14,261.0,0.0,132.0,157.0,214.0,84.0,365.0,68,21.0,516.0,95,323.0,2.31,2.3,2.28,2.1,2.5,68,1.9,2.8,95,2.67,6127688772460243968,3.7772913,581339474.7665119,2591481.950861006,3.8910806000000004,383815921.58046055,2167809.9225435145,3.7841356,246101238.7891177,631625.4779710097,,,
61646,6808,231,4.15,0.14,,,1641.0,1830.0,1804.0,1413.0,2441.0,68,613.0,4097.0,95,1694.0,1.43,1.42,1.38,1.3,1.5,68,1.2,1.7,95,1.4,5860198690354944000,8.44395,7902531.644986938,3502.2147755045416,8.644042,4818796.643308847,5369.200649569191,8.146524000000001,4427498.166760079,5899.275716183992,4.953979,4.9172387,4.9907193
61688,7221,246,3.82,0.14,,,1189.0,1311.0,1314.0,987.0,1892.0,68,345.0,2818.0,95,1247.0,1.53,1.52,1.49,1.4,1.6,68,1.3,1.8,95,1.82,3516934936698212352,5.911723599999999,81406066.62815909,31942.486435203024,6.0891376,50687424.45990299,63215.87987094914,5.659064,43766563.64527663,35758.781955232254,14.023573999999998,13.9357,14.111447
61692,8088,275,4.27,0.14,,,522.0,654.0,806.0,470.0,1009.0,68,115.0,1122.0,95,372.0,1.74,1.73,1.69,1.6,1.8,68,1.6,1.9,95,1.68,1534118032724512128,6.303182,56764060.07032055,15161.647239954767,6.4247746,37208784.10750838,45097.456085394944,6.142229599999999,28046337.57536876,44495.92439044709,11.038033500000001,10.9902,11.085867
61779,6402,218,4.23,0.14,,,2737.0,2639.0,2476.0,1838.0,3239.0,60,1522.0,5381.0,95,2695.0,1.41,1.41,1.41,1.2,1.5,68,1.1,1.7,95,1.22,1518383986971075584,8.02726,11599580.944347255,3575.384525448793,8.286983,6695177.680084509,7561.928665265424,7.6532100000000005,6974032.6486878125,11206.372927232487,3.4171142999999997,3.3904364,3.4437919999999997
61858,6160,209,3.96,0.14,,,2837.0,3454.0,4664.0,2239.0,6879.0,68,649.0,8913.0,95,3841.0,1.12,1.14,1.07,1.0,1.2,68,1.0,1.3,95,1.28,3675297081050489088,7.1241617,26649040.71352889,4983.93007498834,7.4082837,15039793.545204796,8026.214649672065,6.7256546,16387255.986296853,29367.7712902829,3.5420885,3.5274514999999997,3.5567254999999998
61881,6951,236,4.32,0.14,,,1246.0,1472.0,1562.0,1090.0,2239.0,68,282.0,2985.0,95,29.0,1.43,1.43,1.41,1.3,1.5,68,1.2,1.6,95,1.41,3704034672868995456,7.584697,17436829.023661353,3053.0881899334186,7.788855,10592859.145518646,6645.840221626132,7.2858863,9781680.950863894,12108.358302375018,4.6449523,4.6170263,4.6728783
61902,7251,247,3.89,0.14,,,667.0,856.0,1206.0,525.0,1604.0,68,109.0,1939.0,95,1304.0,1.49,1.49,1.46,1.4,1.6,68,1.3,1.6,95,1.75,4011478018283061760,6.857783,34059099.43308473,29730.300499753936,7.0332522,21244886.78072963,51900.57715788262,6.5982202999999995,18428069.2240604,81816.71349086617,14.314116,14.204285999999998,14.423945000000002
61910,6538,222,3.58,0.14,,,2473.0,2512.0,2271.0,1728.0,3255.0,68,1372.0,5623.0,95,1578.0,1.36,1.35,1.32,1.2,1.5,68,1.1,1.6,95,1.79,3528976341368900096,5.73652,95661775.34257059,85317.64479484767,5.968071,56666555.32431628,56292.824629925635,5.4082555999999995,55139879.5805864,104901.07794794881,24.600962,24.389416,24.812507999999998
61937,7989,272,4.2,0.14,,,857.0,888.0,879.0,774.0,1047.0,68,579.0,1223.0,95,676.0,1.88,1.86,1.83,1.7,2.0,68,1.6,2.2,95,1.7,3927438771159865856,6.166513,64378545.45188363,16733.662827988825,6.289271,42154786.93337084,62330.89917165218,5.996084,32087390.861666724,35843.6382502249,13.164376,13.101075,13.227676999999998
61951,6751,230,3.64,0.14,,,1753.0,1706.0,1518.0,1249.0,2259.0,68,972.0,3447.0,95,1533.0,1.67,1.66,1.63,1.5,1.8,68,1.3,2.1,95,1.79,3515784744456187520,5.916968,81013820.73775972,31104.385166876527,6.1410513,48320878.53301809,83439.96427544736,5.6171370000000005,45489722.31925043,254168.053416422,12.838891,12.753293,12.924489
